project_code,project_name,mda_name,project_status,location,amount,expenditure_code
ERGP30245572,SUPPLY OF EXERCISE BOOKLET TO SELECTED PRIMARY SCHOOL IN IBADAN NORTH- EAST/IBADAN SOUTH-EAST FEDERAL CONSTITUENCY OF OYO STATE.,,ONGOING,Oyo,10500000.0,
ERGP30245618,"CONSTRUCTION OF HAND PUMP BORE HOLE IN FASKARI/KANKARA/SABUWA FEDERAL CONSTITUENCY, KATSINA STATE",,ONGOING,Katsina,7000000.0,
ERGP30245639,"GRANT EMPOWERMENT TO YOUTH, WOMEN AND ELDERLY RANO/BUNKURE/KIBIYA FEDERAL CONSTITUENCY, KANO STATE",,ONGOING,Kano,280000000.0,
ERGP30245664,"THE CONSTRUCTION OF 50M BY 9M REINFORCED CONCRETE ROAD WITH BOND WALL AT OPPOSITE CENTRAL EPIE SECONDARY SCHOOL OPOLO EPIE, YENAGOA, BAYELSA STATE.",,ONGOING,Bayelsa,175000000.0,
ERGP30245764,"CONSTRUCTION OF ROAD AND SOLAR STREET LIGHT AT ROAD 504 OFF KWANAR GANDUJE FEDERAL HOUSING ESTATE SHARADA PHASE 2 KANO, KANO STATE",,ONGOING,Kano,175000000.0,
ERGP28245697,"CONSTRUCTION OF SOLAR POWERED BOREHOLES IN AKOKO SOUTH EAST/SOUTH WEST FEDERAL CONSTITUENCY, ONDO STATE.",,ONGOING,Ondo,70000000.0,
ERGP30244998,COMPLETION OF CONSTRUCTION OF 5KM FAGGO TOWNSHIP ROAD SHIRA/GIADE FED CONSTITUENCY BAUCHI STATE,,ONGOING,Bauchi,105000000.0,
ERGP30245319,BURSARY FOR TERTIARY INSTITUTION STUDENTS IN AKOKO SOUTH EAST/ SOUTH WEST FEDERAL CONSTITUENCY,,ONGOING,,35000000.0,
ERGP30245462,"CONSTRUCTION OF POLICE OUTPOST IN TAKKAS, PANKSHIN LGA OF PLATEAU CENTRAL SENATORIAL DISTRICT",,ONGOING,Plateau,35000000.0,
ERGP30245667,"SUPPLY OF MOTORCYCLES TO YOUNG PERSONS FOR EASE OF TRANSPORTATION IN RURAL COMUNITIES OF KABBA/BUNU/IJUMU FEDERAL CONSTITUENCY, KOGI STATE",,ONGOING,Kogi,70000000.0,
ERGP30245720,"SUPPLY OF PICK UP CARS (HIJET) FOR EMPOWERMENT OF YOUTHS IN CHANCHAGA FEDERAL CONSTITUENCY, MINNA NIGER STATE",,ONGOING,Niger,35000000.0,
ERGP30140652,"TECHNOLOGY TRANSFER FOR VALUE ADDITION ON DYE PRODUCTION FROM LOCALLYONGOING                 7,000,000 SOURCED RAW MATERIALS",,,,7000000.0,
ERGP30140847,PROMOTION OF ANNUAL SUSTAINABILITY SCIENCE FORUM (SSF) FOR HIGH-LEVEL DIALOGUE IN USE OF ENVIRONMENTALLY SOUND TECHNOLOGIES (ESTS) TO ACHIEVE SUSTAINABLE DEVELOPMENT GOALS (SDGS),,ONGOING,,2812356.0,
ERGP30140924,""" DEVELOPMENT AND IMPLEMENTATION OF NATIONAL STRATEGY /POLICY ON ARTIFICIAL INTELLIGENCE AND ROBOTICS FOR RESEARCH AND DEVELOPMENT, INNOVATION AND TECHNOLOGY PRODUCTS DEVELOPMENT TO SUPPORT ECONOMIC D",,ONGOING,,1431500.0,
ERGP30140977,NUT.1.FNS USE OF INNOVATION TECHNOLOGY FOR THE DEVELOPMENT AND PROMOTION OF IMPROVED PLANTING MATERIALS TO ENHANCE FOOD SECURITY,,ONGOING,,4101655.0,
ERGP30144730,PILOT PLANTS REMODELING TO COMMERCIALIZE 38 NEW PROJECTS BY 7 AGENCIES,,ONGOING,,7182501.0,
ERGP30155999,"ENTERPRISE CONTENT MANAGEMENT FOR ON-TIME AND REAL TIME MANAGEMENT OFONGOING                      9,067,100 RECORDS, PROJECTS, BIG DATA, ACTIVITIES OF FMST AND ITS 18 AGENCIES",,,,9067100.0,
ERGP30176037,PHASE II - ESTABLISHMENT OF MODEL SCIENCE AND TECHNOLOGY LABORATORY IN AKWA-IBOM,,ONGOING,,31500000.0,
ERGP30176155,EFFECTIVE PROMOTION AND UTILZATION OF LOCALLY MANUFACTURED ORGANIC FERTILIZERS,,ONGOING,,8612282.0,
ERGP30176227,PROMOTION AND DISSEMINATION OF RESEARCH FINDINGS ON FOOD PROCESSING AND PRESERVATION TECHNOLOGY FOR USE IN HOUSEHOLDS NUT.1.FNS,,ONGOING,,1277500.0,
ERGP30176266,"ESTABLISHMENT OF PILOT PRODUCTION, ASSEMBLING AND TECHNOLOGY TRANSFER CENTRE FOR ENTREPRENEURS ON GENDER RESPONSIVE HIGHLY EFFICIENT METHANOL COOKSTOVE TECHNOLOGY",,ONGOING,,3121220.0,
ERGP30206344,ESTABLISHMENT OF CHEMICAL TOXICOLOGY CENTRE IN THE SIX (6) GEO-POLITICAL ZONES OF THE COUNTRY,,ONGOING,,7000000.0,
ERGP30207201,BIORESOURCES TECHNOLOGY FOR SUSTAINABLE AGRICULTURE PRACTICES IN NIGERIA,,,,,
ERGP30231580,STATUTORY PARTICIPATION AT LOCAL AND INTERNATONAL CODEX SESSIONS,,ONGOING,,2101960.0,
ERGP30231677,UPGRADING OF FMIST LIBRARY,,ONGOING,,4200000.0,
ERGP10240133,"SUPPLY AND INSTALLATION OF SOLAR STREET LIGHTS IN ABAJI/GWAGWALADA/KUJE/KWALI FEDERAL CONSTITUENCY, FCT",,ONGOING,Fct,175000000.0,
ERGP10240403,PROVISION AND INSTALLATION OF SOLAR STREET LIGHT AT GARKI TOWN IN BAURE LGA KATSINA STATE,,ONGOING,Katsina,14000000.0,
ERGP10241037,"PROVISION OF ALL-IN-1 INTEGRATED SOLAR STREETLIGHTS AT OBEGU ODOMOKE IN EBONYI LGA, EBONYI NORTH SENATORIAL DISTRICT OF EBONYI STATE.",,ONGOING,Ebonyi,42000000.0,
ERGP12240363,"CONSTRUCTION OF SELECTED RURAL ROADS IN AJEROMI/IFELODUN FEDERAL CONSTITUENCY, LAGOS.",,ONGOING,Lagos,280000000.0,
ERGP23240327,CONSTRUCTION OF BLOCKS OF CLASS ROOMS IN BAUCHI FEDERAL CONSTITUENCY BAUCHI STATE,,ONGOING,Bauchi,70000000.0,
ERGP25240985,CONSTRUCTION OF PRIMARY HEALTHCARE CENTRES IN SELECTED COMMUNITIES IN KOGI EAST SENATORIAL DISTRICT,,ONGOING,Kogi,231000000.0,
ERGP30169243,"ENVIRONMENTAL ASSESSMENT OF AIR, WATER, FOOD AND SOIL QUALITY FOR IMPROVED LIFE EXPECTATION OF CITIZENRY.",,ONGOING,,21000000.0,
ERGP30239934,"CONSTRUCTION OF BOX CULVERTS IN SELECTED COMMUNITIES IN THE NIGER NORTHONGOING               70,000,000 SENATORIAL DISTRICT, NIGER STATE",,,Niger,70000000.0,
ERGP30240311,SUPPLY OF MOTORCYCLES YABO/SHAGARI FEDERAL CONSTITUENCY,,ONGOING,,280000000.0,
ERGP30241067,"SUPPLY OF VECTAR ECO MIDI FOR EMPOWERMENT TO BARBERS, HAIRDRESSERS ANDONGOING              350,000,000 OTHER SMES IN ALL GEO-POLITICAL ZONES",,,,350000000.0,
ERGP30231746,CONTINUATION OF RESEARCH AND DEVELOPMENT OF HERBAL REMEDY FOR (DIEBETES),,ONGOING,,10500000.0,
ERGP30231777,CONTINUATION OF RESEARCH AND DEVELOPMENT OF HERBAL REMEDY FOR THE MANAGEMENT OF GLAUCOMA,,ONGOING,,6300000.0,
ERGP30243718,CAPACITY DEVELOPMENT PROGRAMME FOR SMALL BUSINESS OWNERS ON DIGITAL SKILL IN OGUN STATE. Budget Office of the Federation            Page 951 / 2790                                            2026 FGN ,,ONGOING,Ogun,210000000.0,
ERGP10243514,"CONSTRUCTION, PROVISION AND INSTALLATION OF STEEL SHADE COVERS AND SOLAR LIGHTS IN ALL COTTAGE SALES OUTLETS OF VILLAGES ALONG MINNA Ã¢â ¬â SULEJA ROAD.",,ONGOING,,245000000.0,
ERGP27179326,RENOVATION OF TEMPORARY ADMINISTRATIVE OFFICE BUILDING (OKA CENTRE),,ONGOING,,7000000.0,
ERGP30138785,PROJECT MONITORING AND EVALUATION,,ONGOING,,14000000.0,
ERGP30179619,DESIGN OF SYNTHETIC APERTURE RADAR (SAR) SATELLITE AND SPECIALIZED SOFTWARE DEVELOPMENT AND PROCUREMENT,,ONGOING,,21000000.0,
ERGP30223131,MONITORING FEDERAL GOVERNMENT INFRASTRUCTURAL PROJECTS FROM SPACE,,ONGOING,,17500000.0,
ERGP30223155,"BUSINESS DEVELOPMENT, PARTNERSHIP, COLLABORATIONS, MARKET RESEARCH AND ANALYSIS",,,,,
ERGP30223175,PURCHASE OF PROJECT VEHICLES INCLUDING STAFF BUS AND DG'S VEHICLE,,ONGOING,,210000000.0,
ERGP30223202,CHARACTERIZATION OF ATMOSPHERIC AEROSOLS OPTICAL AND MICROPHYSICAL PROPERTIES FOR A HISTORIC TIME FRAME OVER NIGERIA TOWARDS A BETTER AIR QUALITY/CLIMATE MITIGATION MEASURES FOR PROPER LEGISLATIONS,,ONGOING,,7000000.0,
ERGP30223223,TERRAIN CHARACTERIZATION FOR SECURITY OPERATIONS USING GEOSPATIAL TECHNIQUES,,ONGOING,,7000000.0,
ERGP30223243,CLIMATE CHANGE DATA CENTRE DESIGN AND DEVELOPMENT (AIR CENTRE),,ONGOING,,7000000.0,
ERGP30231590,"GIS SITE SELECTION USING DRONES FOR/AND CONSTRUCTION OF WATER SUPPLY SCHEME AND SUPPLY/INSTALLATION OF WELLS AND WATER PUMPS IN SELECTED COMMUNITIES IN ORUK-ANAM, UKANAFUN/ORUK ANAM FEDERAL CONSTITUEN",,ONGOING,,700000.0,
ERGP30243393,"CONSTRUCTION OF 2 NO. OF YOUTH RECREATIONAL CENTERS IN AKOKO NORTH EAST / AKOKO NORTH WEST FEDERAL CONSTITUENCY, ONDO STATE.",,ONGOING,Ondo,210000000.0,
ERGP30243545,PROVISION AND INSTALLATION OF MINI SHREDDER MACHINE FOR SMALL PLASTIC SCRAP RECYCLER MACHINE FOR YOUTHS ENTREPRENEURSA AND ESTABLISHMENT OF PLASTIC RECYCLING AND PROCESSING CENTERS IN SELECTED LOCATIO,,ONGOING,,280000000.0,
ERGP10228380,PURCHASE AND INSTALLATION OF 100KVA TRANSFORMER AT BIODEC MAKURDI BENUE STATE,,ONGOING,Benue,9828000.0,
ERGP10243050,"PROVISION AND INSTALLATION OF SOLAR STREET LIGHT IN OKPU,OTOLOKPO AND OTHER COMMUNITIES IN IKA NORTH EAST LGA DELTA STATE",,ONGOING,Delta,175000000.0,
ERGP10243258,PROVISION OF SOLAR POWERED LIGHTS TO BASSA/DEKINA FEDERAL CONSTITUENCY KOGI STATE,,ONGOING,Kogi,14000000.0,
ERGP27201541,CONSTRUCTION / PROVISION OF ADMINISTRATIVE BUILDING (ABTC TUNARI),,ONGOING,,9828000.0,
ERGP27230078,PURCHASE OF OFFICE FURNITURE AND EQUIPMENT (ODE - AJAGBA),,ONGOING,,6552000.0,
ERGP30108324,PLANT TRANSFORMATION AND GENETIC IMPROVEMENT OF LOCAL CULTIVARS OF TOMATOES FOR PEST RESISTANCE AND EXTENDED SHELF LIFE,,ONGOING,,13104000.0,
ERGP30179717,CONSTRUCTION OF PERIMETER FENCE AND GATE HOUSE (MICHIKA CENTRE),,ONGOING,,6552000.0,
ERGP30227607,"PURCHASE OF COMPUTERS, PRINTERS AND ACCESSORIES AT BIODEC DAURA BIODECONGOING                   3,052,000 DAURA, KASTINA STATE",,,,3052000.0,
ERGP30229775,CONSTRUCTION OF GOAT AND SHEEP HOUSE AND PENS AT BIODEC OGBOMOSO,,ONGOING,,6552000.0,
ERGP30230183,INSULIN AND ERYTHROMYCIN PRODUCTION,,ONGOING,,13104000.0,
ERGP30230311,SUPPLY OF LABORATORY EQUIPMENT AT BIORESOURCES ENUGU,,ONGOING,Enugu,315000000.0,
ERGP30243281,TRAINING AND EMPOWERMENT OF FATTENING OR RUMINANT ANIMALS IN 172 WARDS OF KANO SENATORIAL DISTRICT (BIORESOURCES DEV. CENTRE DAURA ),,ONGOING,Kano,42000000.0,
ERGP23241833,"RENOVATION AND CONSTRUCTION OF CLASSROOMS WITH FURNITURES BOREHOLES SOLAR STREETLIGHTS AT LAGUNNA COMMUNITY SECONDARY SCHOOL, OYO STATE PHASE II",,ONGOING,Oyo,105000000.0,
ERGP27223374,RENOVATION AND DEVELOPMENT OF EXISTING FACILITIES AT TIC TARABA,,ONGOING,Taraba,14000000.0,
ERGP28223340,"REHABILITATION OF EXISTING BOREHOLE, INSTALLATION OF WATER TREATMENT PLANT AND 10,000 LITRES OF GP TANKS AT TIC NNEWI",,ONGOING,,14000000.0,
ERGP30179228,PROCESS PLANT DEVELOPMENT AND UP-SCALING OF SOME SELECTED R&D PRODUCTS (ADO-EKITI TIC),,,Ekiti,,
ERGP30223306,AUTOMATIC POWDER PACKAGING MACHINE AT TIC KATSINA,,ONGOING,Katsina,10500000.0,
ERGP30226092,PROCUREMENT OF LABORATORY EQUIPMENT AT TIC LAGOS,,ONGOING,Lagos,7000000.0,
ERGP30229021,TRAINING AND EMPOWERMENT OF YOUNG SCIENTISTS IN SCHOOLS ACROSS SOUTH EAST,,ONGOING,,210000000.0,
ERGP30231309,GRANTS/SUPPORT TO ENTREPRENUERS AT TIC GOMBE,,ONGOING,Gombe,7000000.0,
ERGP30232502,TECHNOLOGY SKILL TRANSFER FOR YOUTH ON ENGINEERING AND FABRICATION SKILL DEVELOPMENT IN ADAMAWA CENTRAL SENATORIAL DISTRICT,,,Adamawa,,
ERGP30241828,"CONSTRUCTION OF TECHNOLOGY INCUBATION CENTRE IN ZARIA, KADUNA STATE",,ONGOING,Kaduna,700000000.0,
ERGP10241812,"""SUPPLY AND INSTALLATION OF SOLAR STREET LIGHTS IN SOME SELECTED COMMUNITIES IN OSUN EAST SENATORIAL DISTRICT """,,ONGOING,Osun,35000000.0,
ERGP30207485,CAPACITY BUILDING FOR STEM SUBJECT TEACHERS IN ICT-BASED PEDAGOGY AND CONTENT DEVELOPMENT IN 2 SELECTED STATES OF THE FEDERATION (400x2),,ONGOING,,10955000.0,
ERGP30226827,"PROFESSIONAL DEVELOPMENT & CAREER ENHANCEMENT FOR DG STAFF ON COMMUNICATION & INTERPERSONAL SKILLS, BUDGET PREPARATION AND TIME MANAGEMENT Budget Office of the Federation             Page 979 / 2790  ",,ONGOING,,14000000.0,
ERGP10240365,"PROVISION OF ALL IN ONE SOLAR POWERED STREET LIGHT IN ANKPA DISTRICT, KOGI STATE",,ONGOING,Kogi,70000000.0,
ERGP10241546,"SUPPLY AND INSTALLATION OF SOLAR STREETLIGHTS IN SELECTED LOCATIONS IN MAIDUGURI METROPOLITAN FEDERAL CONSTITUENCY, BORNO STATE",,ONGOING,Borno,140000000.0,
ERGP10243933,"PROVISION OF SOLAR POWERED STREET LIGHTS IN SOME SELECTED COMMUNITIES OF GUSAU/TSAFE FEDERAL CONSTITUENCY, ZAMFARA STATE",,,Zamfara,,
ERGP10244663,CONSTRUCTION OF SOLAR POWERED BOREHOLES IN NGASKI/SHANGA/YAURI FEDERAL CONSTITUENCY,,,,,
ERGP12116039,A.          INVESTIGATION OF ENGINEERING MATERIALS-RELATED FAILURES IN STRUCTURES AND BUILDING CONSTRUCTION B.        INVESTIGATING ELECTRICITY BILLS REDUCTION STRATEGIES BASED ON COOLING SYSTEMS AND ,,ONGOING,,38500000.0,
ERGP12179977,"""A.         DEVELOPMENT OF A SOFTWARE SOLUTION FOR STRUCTURAL HEALTH MONITORING AND REPORTING B.        HYDROGEOGRAPHIC EXPLORATION OF TERTIARY INSTITUTIONS IN URBAN AND RURAL COMMUNITIES IN THE FCT, ",,ONGOING,Fct,21000000.0,
ERGP12211917,"""A.ENHANCING ROAD INFRASTRUCTURE RESILIENCE IN NIGERIA USING REFRACTORY GLASS BEADS B.ECO-FRIENDLY APPROACHES TO COASTAL EROSION MITIGATION USING BIODEGRADABLE GEOTEXTILES AND NATURAL FIBER MATS""",,ONGOING,,11518500.0,
ERGP12224788,CONSTRUCTION OF 3KM BUKI POLY OGIDIANI ROADM UMOJI IDEMILI NORTH  ANAMBRA WITH NBRRI RURAL ROAD CONSTRUCTION TECHNOLOGY VU,,ONGOING,Anambra,21000000.0,
ERGP12239777,"CONSTRUCTION, ASPHALTING AND DRAINAGE OF IBAGWA CITY CENTER ROAD AND OTHER RURAL ROADS AND STREET LIGHTS ILLUMINATION IN IGBO-EZE SOUTH, ENUGU STATE (DIFFERENT LOTS) Budget Office of the Federation   ",,ONGOING,Enugu,864518200.0,
ERGP12240073,"CONSTRUCTION OF CIVIC CENTRE AT WASIMI RAILWAY STATION, , OGUN STATE",,ONGOING,Ogun,210000000.0,
ERGP12240521,"CONSTRUCTION OF DRAINAGES/CULVERTS IN KATSINA METROPOLIS, KATSINA CENTRAL, KATSINA STATE",,ONGOING,Katsina,70000000.0,
ERGP12240749,"REHABILITATION OF SATELLITE TOWN ROAD IN AMUWO-ODOFIN FEDERAL CONSTITUENCY, LAGOS STATE",,ONGOING,Lagos,175000000.0,
ERGP12241164,"REHABILITATION OF KWATUTI-KAFIN, ISHAU ROAD, PAIKORO LOCAL GOVERNMENT AREA IN BOSSO/ PAIKORO FEDERAL CONSTITUENCY, NIGER STATE.",,ONGOING,Niger,700000000.0,
ERGP12241550,"CONSTRUCTION OF ROADS AT LEGISLATIVE QUARTERS GOMBE, GOMBE STATE",,ONGOING,Gombe,350000000.0,
ERGP12241974,"CONSTRUCTION OF 2 KM ROAD AT BAKALE JUCTION ROAD -DAN ABARBARE- KAURA- TANDARAWA ROAD AT BODINGA L.G.A IN BODINGA/DANGE SHUNI/TURETA FEDERAL CONSTITUENCY, SOKOTO STATE",,ONGOING,Sokoto,140000000.0,
ERGP12242695,"COMPLETION OF ONGOING RENOVATION OF IKWO HIGH SCHOOL AGUBIA EXAM HALL AND CONSTRUCTION OF ACCESS ROAD IN IKWO/EZZA SOUTH FEDERAL CONSTITUENCY, EBONY STATE IESFC.",,ONGOING,,175000000.0,
ERGP12242962,"REHABILITATION OF EKPEDEIHGHA ROAD IN AKUGBENE TOWN, BOMADI LGA, DELTA STATE",,ONGOING,Delta,490000000.0,
ERGP12243490,"CONSTRUCTION OF INTERNAL ROADS, IKORODU FEDERAL CONSTITUENCY, LAGOS STATE Budget Office of the Federation            Page 991 / 2790                                           2026 FGN BUDGET",,ONGOING,Lagos,700000000.0,
ERGP12243865,"REHABITATION, ASPHALT AND OVERLAY OF KAGBU, LIZZIN, EZZEN, MADA STATION ROAD IN NASARAWA NORTH SENATORIAL DISTRICT",,ONGOING,,350000000.0,
ERGP12244453,"CONSTRUCTION OF ASHAPA STREET, BIRNIN GWARI IN KADUNA SOUTH LOCAL GOVERNMENT IN KADUNA CENTRAL SENATORIAL DISTRICT",,ONGOING,Kaduna,108500000.0,
ERGP12244613,"PROCUREMENT AND INSTALLATION OF SOLAR POWER GENERATOR FOR EBONYI STATE UNIVERSITY, EBONYI STATE",,,Ebonyi,,
ERGP12244724,"CONSTRUCTION AND GRADING OF THE ROAD AT ODOGBOLAGBO BRIDE IN ILASE CONNECTING 52 FARMING COMMNITIES IN OSUN EAST SENATORIAL DISTRICT, OSUN STATE.",,ONGOING,Osun,350000000.0,
ERGP12244764,REHABLITATION AND DRAINAGE CONSTRUCTION OF 1KM ROAD IN ILA-ORANGUN IN OSUN CENTRAL SENATORIAL DISTRICT,,ONGOING,Osun,175000000.0,
ERGP12244890,""" CONSTRUCTION OF INTERNAL ROADS IN UGBOKOLO IN BENUE SOUTH SENATORIAL DISTRICT """,,ONGOING,Benue,210000000.0,
ERGP12244989,"""CONSTRUCTION/ REHABILITATION OF RURAL ROADS IN COMMUNITIES IN EPE, LAGOS EAST SENATORIAL DISTRICT",,ONGOING,Lagos,420000000.0,
ERGP22167794,COMPLETION OF BUILDING AND ROAD IN EACH OF THE GEO POLITICAL ZONES (RET),,ONGOING,,56000000.0,
ERGP23211915,"""IMPLEMENTATION OF PERMEABLE PAVEMENT IN BAYELSA STATE """,,ONGOING,Bayelsa,3500000.0,
ERGP23240445,CONSTRUCTION OF SCHOOL OF SCIENCE AND ENTREPRENEUSHIP STUDIES IN EKINRIN ADDE KOGI PHASE III MULTIPLE LOTS,,,Kogi,,
ERGP23240999,CONSTRUCTION AND RENOVATION OF SOME SELECTED SCHOOLS ACROSS LOKOJA/KOGI-KK FED CONST. KOGI STATE,,ONGOING,Kogi,140000000.0,
ERGP23241521,"CONSTRUCTION OF FENCE AND OTHER FACILITIES IN TOTO SQUARE FOR EDUCATIONAL TRAINING IN NASARAWA/TOTO FEDERAL CONSTITUENCY, NASARAWA STATE",,ONGOING,,140000000.0,
ERGP23241831,"CONSTRUCTION OF CLASSROOMS BLOCKS IN CHAWAI/KAURA/KUMANA IN KAURA FEDERAL CONSTITUENCY, KADUNA STATE",,ONGOING,Kaduna,210000000.0,
ERGP23241976,"CONSTRUCTION OF TWO BLOCKS OF SIX CLASSROOMS AND HEADMASTER'S OFFICE EACH AT BODINGA L.G.A IN BODINGA/DANGE SHUNI/TURETA FEDERAL CONSTITUENCY, SOKOTO STATE",,ONGOING,Sokoto,140000000.0,
ERGP23242651,"CONSTRUCTION OF CLASSROOM BLOCKS IN SELECTED TOWNS IN IDEMILI NORTH/SOUTH FEDERAL CONSTITUENCY, ANAMBRA STATE",,ONGOING,Anambra,70000000.0,
ERGP23242920,"CONSTRUCTION OF CLASSROOMS BLOCKS AND PROVISION OF FURNITURE AT SCHOOLS IN OGOJA LOCAL GOVERNMNENT AREA OF OGOYA/YALA FEDERAL CONSTITUENCY, CROSS RIVER STATE",,ONGOING,Cross River,70000000.0,
ERGP23243235,"RENOVATION OF PRIMARYN SCHOOLS IN AHOADA - WEST/ OGBA - EGBEMA NDONI FEDERAL CONSTITUENCY, RIVERS STATE",,ONGOING,Rivers,140000000.0,
ERGP23243678,"COMPLETION OF THE FENCE, IJEBU NORTH LOCAL GOVERNMENT,OGUN STATE.",,ONGOING,Ogun,,
ERGP23244350,"PROVISION OF SCHOOL FURNITURE'S IN PUBLIC SCHOOLS IN OBINGWA, ABA NORTH AND ABA SOUTH LGAS OF ABIA SOUTH SENATORIAL DISTRICT OF ABIA STATE",,ONGOING,Abia,140000000.0,
ERGP23244494,"CONSTRUCTION OF CLASSROOMS IN ZANGO LGA, KATSINA NORTH SENATORIAL DISTRICT, KATSINA STATE",,ONGOING,Katsina,29166550.0,
ERGP23244639,"CONSTRUCTION OF ONE BLOCK OF THREE CLASSROOMS IN BESSE PRIMARY SCHOOLONGOING                  70,000,000 IN KOKO BESSE LGA OF KEBBI CENTRAL SENATORIAL DISTRICT, KEBBI STATE",,,Kebbi,70000000.0,
ERGP23244911,""" CONSTRUCTION OF A BLOCK OF THREE CLASSROOMS IN KWALLAK PLATEAU STATE """,,ONGOING,Plateau,35000000.0,
ERGP25240804,"CONSTRUCTION AND FURNISHING OF FOUR STOREY BUILDING FOR HOUSE OFFICERSONGOING              1,750,000,000 QUARTERS AT ALEX EKWUEME (FEDERAL UNIVERSITY TEACHING HOSPITAL, ABAKALIKI)",,,,1750000000.0,
ERGP25241993,"RENOVATION OF ICU UNITS AND SUPPLY OF 5 CRANKS ICU MANUAL BEDS IN SHINKAFIONGOING            140,000,000 AND ZURMI GENERAL HOSPITALS AT SHINKAFI/ZUMI FEDERAL CONSTITUENCY, ZAMFARA STATE",,,Zamfara,140000000.0,
ERGP25244515,"PROVISION OF BEDS, DRUGS AND OTHER MEDICAL EQUIPMENTS FOR PRIMARY HEALTH CENTRES IN MANI LGA, KATSINA NORTH SENATORIAL DISTRICT, KATSINA STATE",,,Katsina,,
ERGP26245033,COMPLETION OF GWARZO STADIUM,,ONGOING,,350000000.0,
ERGP27244930,""" CONSTRUCTION OF AREA COMMAND OFFICE OKWUNGAGA, BENUE SOUTH SENATORIAL DISTRICT """,,ONGOING,Benue,175000000.0,
ERGP28241543,"CONSTRUCTION OF MOTORIZED SOLAR POWERED BOREHOLES IN SELLECTED COMMUNITIES IN ASKIRA-UBA/HAWUL FEDERAL CONSTITUENCY, BORNO STATE",,ONGOING,Borno,210000000.0,
ERGP29240480,"CONSTRUCTION OF ICT CENTRES ACROSS BIRNIN KEBBI/KALGO/BUNZA FEDERAL CONSTITUENCY, KEBBI STATE",,ONGOING,Kebbi,105000000.0,
ERGP29243464,"PROVISION OF ICT CENTER IN ALIMOSHO FEDERAL CONSTITUENCY, LAGOS STATE",,ONGOING,Lagos,210000000.0,
ERGP30167527,"A.         ADVANCED NANO-COATINGS FOR SUSTAINABLE BUILDING FACADES AND ROAD MARKINGS: ENHANCING DURABILITY, ENERGY EFFICIENCY, AND MAINTENANCE B.        PRODUCTION OF INNOVATIVE ROOF TILES USING AGRIC",,ONGOING,,14000000.0,
ERGP30240226,"TRAINING AND SCHOLARSHIP GRANT TO STUDENTS OF TERTIARY INSTITUTIONS IN OGOJA/IYALA FEDERAL CONSTITUENCY, CROSS RIVER STATE.",,ONGOING,Cross River,35000000.0,
ERGP30240610,"CONSTRUCTION OF PAVILLION IN NASSARAWA LGA, NASARAWA/TOTO FEDERAL CONSTITUENCY",,ONGOING,Nassarawa,140000000.0,
ERGP30241948,"REMODELLING AT ZAWIYA CENTRE MOSQUE SABON-GARI AREA KOKO, KOKO-BESSE L G.A FEDERAL CONSTITUENCY, KEBBI STATE",,ONGOING,Kebbi,35000000.0,
ERGP30243836,"RENOVATION AND UPGRADE OF UWELU SPARE PARTS MARKET HALL IN EGOR LGA  EGOR / IKOPBA- OKHA FEDERAL CONSTITUENCY, EDO STATE. Budget Office of the Federation            Page 1007 / 2790                   ",,ONGOING,Edo,56000000.0,
ERGP12191180,REHABILITATION AND REPAIR OF INNER-ROADS,,ONGOING,,23862300.0,
ERGP15203611,SERVICOM SIGNERGIES/ ADVOCACY AWARENESS CAMPAIGN,,ONGOING,,6271363.0,
ERGP25241449,"MEDICAL OUTREACH AND PROVISION OF OPTICAL GLASSES FOR THE PEOPLE OF ENUGU EAST SENATORIAL DISTRICT, ENUGU STATE",,ONGOING,Enugu,56000000.0,
ERGP27240874,"CONSTRUCTION AND FURNISHING OF MODERN CIVIC CENTRE IN OKPAI, NDOKWA EAST LGA, DELTA STATE.",,ONGOING,Delta,140000000.0,
ERGP30191248,DEVELOPMENT OF AND EQUIPING MODERN ICT CENTER IN PRODA HEADQUARTERS,,ONGOING,,66548356.0,
ERGP30226051,PROVISION OF AGRICULTURAL MACHINERY TO RURAL FARMERS IN NKANU WEST ENUGU STATE,,ONGOING,Enugu,175000000.0,
ERGP30241273,COMPLETION OF SKILL ACQUISITION CENTRE AT COMMUNITY BASIC SCHOOL OSHIGO,,ONGOING,,28000000.0,
ERGP30158888,NOTAP INDUSTRY TECHNOLOGY TRANSFER FELLOWSHIP,,ONGOING,,5183351.0,
ERGP12240019,CONSTRUCTION OF ROAD IN TOKARAWA GIDAN MAIGARI NASARAWA LOCAL GOVERNMENT KANO CENTRAL SENATORIAL DISTRICT,,ONGOING,Kano,210000000.0,
ERGP23239781,CONSTRUCTION OF SCHOOL OF SCIENCE AND ENTREPRENEUSHIP STUDIES IN EKINRIN ADDE PHASE I MULTIPLE LOTS,,,,,
ERGP29239744,"PROVISION OF TECH EDUCATION PROGRAM - DATA ANALYSIS, CLOUD ENGINEERING BLOCKCHAIN TECH, FINTECH PRODUCT MANAGEMENT, DATA AND ARTIFICIAL INTELLIGENCE, DATA VISUALIZATION FOR SELECTED YOUTHS IN OBELE- A",,ONGOING,,350000000.0,
